filename,total_frames,face_frames,sleep_frames,awake_frames,sleep
001_sleep.mp4,457,428,428,0,1
001_awake.mp4,431,431,0,431,0
002_sleep.mp4,108,108,108,0,1
002_awake.mp4,148,148,0,148,0
003_sleep.mp4,380,107,85,22,1
003_awake.mp4,245,245,0,245,0
004_sleep.mp4,145,14,14,0,1
004_awake.mp4,148,148,0,148,0
005_sleep.mp4,192,192,192,0,1
005_awake.mp4,193,177,0,177,0
006_sleep.mp4,165,165,165,0,1
006_awake.mp4,181,181,0,181,0
007_sleep.mp4,128,49,49,0,1
007_awake.mp4,193,193,193,0,0
008_sleep.mp4,282,251,251,0,1
008_awake.mp4,156,156,47,109,0
009_sleep.mp4,118,16,16,0,1
009_awake.mp4,168,168,31,137,0
